Login,Dvojnasobek,Suda cisla,Delitele,Faktorial,Ciferny soucet,Fibonacciho posloupnost,Nejvetsi spolecny delitel,Binarni zapis,Sachovnice,Vypis prvocisel,Pascaluv trojuhelnik,Mocniny dvojky,Tajna posloupnost,Soucet,Ctverec,Trojuhelnik,Pocet delitelu,Diamant,Cik-cak,Palindrom,Presmycky,Binarni cislo,Podmnoziny,Caesarova sifra,Velke X,Transpozicni sifra,Prvni pismena,Vsechny presmicky,Frekvencni analyza,Nejdelsi slovo
 U102, 67, 58, 227, 477, 579, 158, 254, 570, 351, 601, 404, 63,, 48, 275, 612, 167, 281, 403, 279,,,,, 559,,,, 452,
 U112, 75, 58, 52, 46,,,,,,,, 125,, 63,,,,,,,,,,,,,,,,
 U137, 14, 29, 19, 23, 40, 39, 103, 98, 68, 125, 73, 6, 175, 12, 163, 40, 31, 286, 189, 118, 298, 108, 1103, 176, 52, 504, 214, 459, 165, 88
 U140, 67, 54, 42,,, 102,,, 119,,,, 298, 29,,,,, 416, 86, 705,,,,,, 204,,,
 U155, 33, 61, 126, 58,,, 425,,,,, 342,, 72,, 339, 253,,, 147,,,,,,,,,,
 U165, 1407, 165, 131, 293,,, 501,,,,, 509,, 98,,, 135,,, 567,,,,,,,,,,
 U169, 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U176, 137,, 69,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U179, 14, 22, 13, 16, 80, 34, 100, 117, 54, 172, 76, 10, 50, 10, 62, 20, 31, 254, 32, 29, 51, 105, 189, 138, 81, 74, 94, 486, 63, 248
 U190, 66, 35, 40, 43, 282, 170, 268, 478, 258, 457, 541, 79, 193, 28, 198, 120, 75, 281, 229, 131, 768, 274, 1556, 823, 174, 319, 185,, 240, 425
 U191, 22, 74, 59, 49,,, 389,,,,, 119,, 34,, 56, 50,,,,,,,,,,,,,
 U218, 20, 41, 44, 39, 47, 56, 233, 313, 968, 200, 480, 28, 70, 65, 381, 32, 36, 519, 57, 60, 935, 81, 2715, 229, 120, 434, 483, 935, 166, 108
 U220, 26, 36, 137, 86, 145, 214, 473, 1075, 455, 447, 545, 162, 566, 37, 237, 53, 92, 489, 440, 251, 684, 239,, 285, 221, 676, 437,, 996, 785
 U224, 211, 58, 79, 178,,,,,,,,,, 48,,,,,,,,,,,,,,,,
 U235, 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U244, 150, 28, 53, 29, 173, 56, 393,, 110,,, 35,, 41, 228, 64, 41,, 655, 108,,,,, 272,,,,,
 U290, 41, 47, 56, 74, 64, 139, 367,, 174,,, 80, 273, 37, 192, 56, 110,,, 32, 284,,,,,,,,,
 U339, 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U389, 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U410, 38, 99, 71, 66,,, 712,,,,, 332,, 121,,, 95,,,,,,,,,,,,,
 U462, 44, 75, 47, 44,,,,,,,, 27,, 37,, 84, 172,,, 73,,,,,,,,,,
 U463, 35, 107, 100,,,,,,,,, 292,,,,,,,,,,,,,,,,,,
 U505, 107, 451, 131, 445,,,,,,,, 1057,, 125,,,,,,,,,,,,,,,,
 U592, 75, 123, 43, 74, 254, 261, 311, 261, 103, 195, 1198, 123, 369, 130, 197, 73, 68, 462, 141, 162, 545, 99, 1321, 558, 179, 535, 1140, 6334, 506, 93
 U692, 43, 55, 183, 92,,, 123,,,,, 219,, 596,, 210, 148,,, 229,,,,,,,,,,
 U702, 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U706, 40, 220, 74, 38, 199, 855, 192, 811, 180, 743, 1395, 16, 1442, 976, 1770, 50, 392, 341, 252, 364, 433, 454, 4191, 355, 438, 1125, 473, 3390, 650, 221
 U782, 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U784, 75, 58, 71,,,,,,,,, 63,, 34,,, 56,,,,,,,,,,,,,
 U817, 167, 684, 91, 237,,,,,,,, 82,, 215,, 174, 453,,,,,,,,,,,,,
 U868, 36, 151, 36,,,,,,,,, 13,, 14,,,,,,,,,,,,,,,,
 U896, 23,, 74,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U932, 77, 39, 46, 27, 42, 90, 172,, 122,,, 20,, 15, 348, 198, 36,, 103, 108,,,,, 155,, 219,,, 262
 U968, 28, 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1038, 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1042, 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1051, 65, 51, 108, 49,,,,,,,, 225,, 140,,, 134,,,,,,,,,,,,,
 U1078, 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1335,,, 15 34,,,,,,,,,,, 28,,, 86,,,,,,,,,,,,,
 U1371, 70, 115, 111, 162,,,,,,,, 286,, 195,, 133, 81,,,,,,,,,,,,,
 U1375, 55, 101, 62, 56, 82, 211, 103, 131, 191,,, 232,, 24, 308, 57, 83, 255, 123, 62, 195,,,, 120,, 135,, 451,
 U1383, 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1412, 509, 82, 59, 57,, 1065, 269,, 184,, 1081, 45, 256, 43, 641, 144, 97,, 113, 149,,,, 432, 182,, 1568,, 137, 259
 U1451, 29, 24, 36, 55,,,,,,,,,, 21,,, 32,,,,,,,,,,,,,
 U1453, 127, 84, 58, 80, 446, 228, 268, 599,, 1967,, 50,, 78, 140, 659, 164,,, 95,,,, 329,,,,,,
 U1716, 34, 129, 76, 56,,,,,,,, 412,, 47,,, 409,,,,,,,,,,,,,
 U1734, 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1745, 66,, 104,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1746, 32, 195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1787, 58, 38, 38, 106, 1875,, 1529,,,,, 10060,, 58,, 99, 457,,, 1394,,,,,,,,,,
 U1957, 1067,, 64,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U1975, 82, 387, 99, 149,,, 178,,,,, 238,, 262,, 106, 408,,, 192,,,,,,,,,,
 U1984, 105, 56, 354, 50, 363, 192, 321, 802, 277,, 855, 121, 253, 53, 427, 71, 62,, 517, 198,, 262,, 427, 466, 1171, 234,, 747, 399
 U1994, 63, 22, 36, 63, 49, 62, 32, 175, 84, 90, 528, 77, 211, 33, 82, 71, 53, 567, 88, 104, 137, 80, 642, 211, 69, 224, 77, 67, 226, 56
 U2013,,, 37 42, 137, 248, 344, 172,, 163,,, 24,, 24,, 75, 60,, 544, 104,,,,, 158,,,,,
 U2021, 29, 144, 67, 30, 186,, 118, 270, 86,, 816, 149,, 28, 180, 28, 135, 220, 367, 152,, 206, 1391, 297, 162, 521, 228, 967,, 222
 U2030, 38, 91, 32, 41, 95,, 216,,,,, 106,, 28,, 62, 114,,, 577,,,,,,,,,,
 U2137, 81,, 193, 198, 1318, 147, 490,,,,, 268,,,, 137, 143,,, 1489,,,,,,,,,,
 U2173, 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U2175, 87, 93, 131, 277, 967, 412, 1395, 2167, 220, 702, 806, 113, 656, 187, 1039, 152, 115, 1663, 647, 447, 420, 808, 7478, 1058, 514, 416, 224, 6029, 4495, 428
 U2201, 44, 33, 53, 50, 647, 177, 174,, 188,,, 50,, 56, 109, 195, 57,, 263, 237,,,,, 225,,,,,
 U2217, 35, 245, 54, 53, 56, 3358, 303, 678, 275, 522,, 46, 319, 214, 164, 78, 331,, 121, 397,,,, 1107, 124, 423, 1326,, 104, 95
 U2221, 8, 25, 16, 19, 41, 91, 18, 519, 173,, 177, 10,, 37,, 20, 9,, 54, 105,, 219,, 45,,,,,,
 U2236, 15, 42, 42, 189,,, 237,,,,, 55,, 45,, 186, 52,,,,,,,,,,,,,
 U2288, 57, 343, 93, 214,,,,,,,, 175,, 430,,,,,,,,,,,,,,,,
 U2290, 101, 15, 23, 23, 23, 46, 30, 205, 64, 84, 134, 38, 372, 25, 106, 31, 25, 138, 176, 33, 95, 114, 496, 86, 105, 169, 51, 341, 93, 54
 U2304, 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U2511, 14, 38, 15, 24, 107, 48, 138, 51, 58,, 206, 26, 122, 24, 124, 29, 28,, 62, 19,, 166,, 90, 88, 253, 175,, 225, 159
 U2539, 17, 75, 30, 119, 57, 60, 53, 136, 96, 209, 314, 179, 249, 45, 247, 68, 58, 170, 64, 52, 980, 238, 972, 385, 121, 319, 128, 2361, 106, 135
 U2691, 24, 16, 31, 26,,,,,,,, 14,, 43,, 136, 59,,,,,,,,,,,,,
 U2871, 362, 104, 65, 236, 188, 214, 875,, 143, 287, 653, 213,, 140, 473, 757, 164, 93, 165, 1952,,,,, 3574, 815,,,, 441
 U3063, 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3070, 28, 152, 40, 129, 103,,,,,,, 25, 513, 36,, 35, 98,,, 244,,,,,,,,,,
 U3071, 37, 43, 32, 25, 45, 245, 73,,,,, 42,, 17,,,,,,,,,,,,,,,,
 U3113, 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3127, 31, 54, 57,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3225,,, 22 47, 76, 41,, 145,,,,, 82,, 40,, 299, 67,,,,,,,,,,,,,
 U3347, 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3418, 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3542, 153, 107, 79, 74,,,, 133,,,,,, 63,, 126, 192,, 1291,,,,,,,,,,,
 U3612, 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3638, 34,, 86,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3656, 112, 58, 52, 41, 45, 50, 80, 159, 103, 233, 513, 41, 221, 24, 259, 93, 51, 335, 103, 76, 601, 71, 1477, 262, 489, 224, 227, 641, 463, 107
 U3658, 185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3667, 22, 43, 59, 59,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3681, 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U3933, 34, 56,,,,,,,,,,,, 35,,,,,,,,,,,,,,,,
 U4007, 123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4456, 56,, 87,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4459, 196, 639,,,,,,,,,, 94,,,,,,,,,,,,,,,,,,
 U4553, 41, 111, 65,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4587, 35, 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4606, 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4697, 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4740, 39, 102, 82, 100,,,,,,,,,,,,, 164,,,,,,,,,,,,,
 U4743, 23, 118, 88, 66,,,,,,,, 103,, 127,,,,,,,,,,,,,,,,
 U4786, 25,,,,,,,,,,,,,,,, 270,,,,,,,,,,,,,
 U4797, 398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U4914, 47, 55, 46, 48,,,,,,,, 314,, 42,,, 90,,,,,,,,,,,,,
 U5118, 28, 287, 29, 374, 306, 79, 189, 189, 116, 185, 447, 30, 174, 132, 312, 212, 67, 824, 272, 138, 157, 80,, 441, 242, 202, 194,, 431, 142
 U5197, 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5219, 132, 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5306, 13, 87, 31, 62, 167,,,,,,,,, 49,,,,,,,,,,, 105,,,,,
 U5308, 59, 95, 41, 295,,,,,,,, 132,, 109,, 51, 80,,, 25,,,,,,,,,,
 U5309, 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5386, 133,, 822,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5426, 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5467, 38, 165, 27, 47, 60, 50, 99, 256, 67, 143, 164, 24, 605, 33, 276, 37, 134, 140, 187, 98, 797, 325, 1020, 319, 81, 106, 101, 1465, 169, 184
 U5651, 64, 62, 149, 109,,, 268,, 351,,, 388,, 42,, 74, 125,,,,,,,,,,,,,
 U5654, 23, 42, 37, 42,,, 412,,,,, 22,, 44, 437, 95, 86,,, 148,,,,,,,,,,
 U5737, 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5746, 28, 63, 59, 46,,,,,,,, 93,, 48,,, 59,,,,,,,,,,,,,
 U5749, 196, 87, 88,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5803,,, 65, 41,, 313, 224,,,,, 57, 468, 61, 136,, 354,,,, 725,,,,,,,,,
 U5865, 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5879, 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U5966, 77, 62, 74,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6031, 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6054, 68, 149, 77, 89,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6188, 24, 40, 32, 21,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6222, 43, 190, 74, 370,,, 166,,, 1461,, 190,, 203,, 114, 520,,, 428,,,,,,,,,,
 U6260, 25, 356, 64, 134, 99, 184, 417, 364, 115, 340, 209, 310, 214, 167, 346, 48, 490, 172, 150, 136, 211, 908, 521, 309, 2060, 756, 92,, 350, 1300
 U6326, 10002, 39, 133, 301,,,,,,,,,, 395,,, 101,,,,,,,,,,,,,
 U6329,,, 69 47, 76,,,,,,,, 182,, 155,,, 236,,,,,,,,,,,,,
 U6359, 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6404, 34,, 98,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6543, 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6745, 41, 127, 132, 150, 658, 397, 284,, 810,,, 91,, 53, 91, 703, 63,, 1404, 814,, 81,,, 110,, 172,, 442, 733
 U6814,,, 152 50, 46, 95, 74, 82,, 113,,, 64, 236, 83, 230, 87, 64,, 369, 80,,,,, 574,,,, 140,
 U6898, 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U6939, 17, 29, 39, 32, 120, 160, 42,, 833,,, 18,, 41, 491, 39, 45,, 121, 62,,,,, 206,,,,,
 U7040, 21, 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7205, 268, 245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7307, 102, 259,,,,,,,,,, 94,,,,,,,,,,,,,,,,, 765,
 U7333, 25,, 67,,,,,,,,,,,,,, 106,,,,,,,,,,,,,
 U7349, 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7354, 38, 56, 68, 352,,,,,,,, 46,, 52,, 148, 189,,,,,,,,,,,,,
 U7369, 40, 54, 136, 58,,,,,,,, 29,, 34,,,,,, 248,,,,,,,,,,
 U7405, 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7614, 58,,,,,,,,,,,,, 298,,,,,,,,,,,,,,,,
 U7640, 181, 101, 54, 113,, 134,,, 196,,, 76,, 99,, 223, 461,,,,,,, 641,,,,,,
 U7641, 55, 62, 394, 378, 5, 1439, 161, 7, 12,,, 138,, 569,,, 320,,,,, 1974,,,,,,,,
 U7663, 124, 265, 48, 273,,,,,,,, 68,, 120,,, 200,,,,,,,,,,,,,
 U7717, 17,,,,,,, 11,,,,,,,,,,,,,,,,,,,,,,
 U7718, 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7796, 52, 99, 45, 244, 1019, 1806, 1302,, 3029,,, 321,, 198,, 201, 101, 2563,, 1736,,,,, 364,,,,,
 U7806, 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7807, 194, 84, 170, 208, 609,, 159,,,,, 545,, 44, 1922, 737, 122,,,,,,,,,,,,,
 U7809, 110,,,,,,,,,,,,,,,,,,,,,,,,,,, 3291,,
 U7827, 36, 369, 158, 328, 109, 636, 237, 1506, 429, 2307, 798, 28, 1584, 108, 1222, 97, 473, 1037, 554, 156, 292, 323,, 680, 264, 383, 169,, 72, 505
 U7841, 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7879, 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7895, 48,,,,,,,,,,, 48,,,,,,,,,,,,,,,,,,
 U7898, 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7902, 50, 275,,,,,,,,,, 177,, 56,,,,,,,,,,,,,,,,
 U7911, 110, 39, 118, 603, 549, 232, 1159,,,,, 1733,, 142, 1775, 164, 172,,, 126,,,,,,,,,,
 U7945, 16,,,,,,,,,,, 26,,,,,,,,,,,,,,,,,,
 U7955, 57, 63, 53, 53, 49, 130, 60,, 551,,, 108,, 242, 211, 520, 86,,, 163,,,,,,,,,,
 U7968, 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8010, 79, 53, 129, 171, 42, 127, 161,, 125,, 3390, 113,, 148, 314, 44, 440,, 1149, 84,,,,, 359,,,,,
 U8027, 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8052, 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8056, 58, 26, 41, 71,,,,,,,,,, 75,,, 43,,,,,,,,,,,,,
 U8117, 230, 87, 122, 59, 75, 97,,, 206,,, 97,, 64,,,,,,,,,, 273,,,,,,
 U8163, 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8167, 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8188, 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8199, 130, 84, 75, 177, 298, 62, 164, 931, 120, 1442, 442, 40, 310, 72, 185, 203, 98, 992, 160, 136, 380, 1441, 134, 347, 382, 911, 1102, 626, 605, 137
 U8200, 59, 118, 74,,,,,,,,, 35,, 120,,,,,,,,,,,,,,,,
 U8215, 156, 45, 43,,,,,, 127,, 374, 14, 291, 48, 268, 47,, 809,, 51, 419,, 1407, 404,,,, 1315,,
 U8264, 33, 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8304, 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8306, 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8381, 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8401, 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8420, 1645, 104, 91, 587, 148, 173,,,,,, 112,, 180, 220, 293, 216,,,,,,,,,,,,,
 U8421, 53, 95, 73, 62, 109, 249, 470, 257, 611, 1080, 386, 147, 381, 62, 73, 133, 115, 890, 968, 441, 300, 1073,, 123, 933, 915, 550,, 132, 106
 U8422, 62, 76, 2529, 178,, 1261, 36, 879, 83,, 922, 285,, 1386, 340,,,,, 100,,,, 4473,, 2786,,, 683,
 U8423, 64, 162, 196, 100, 88, 439, 105,,,,, 74,, 325,, 347, 154,,, 421,,,,,,,,,,
 U8424, 110, 75, 81, 96, 1110, 258, 525,,,,, 27,, 92, 280,, 174,,, 120,,,,,,,,,, 1926
 U8425, 123, 384, 1348, 122, 205, 564, 3128,, 626,,, 178,, 225, 1017, 1745, 185,,, 683,,,,, 735,,,,,
 U8426, 75, 166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8427, 58, 152, 82, 57,,,,,, 487,, 236, 266, 65, 775, 222, 91, 733,,, 459,,, 628, 296,,,,, 1175
 U8428, 45, 83, 129, 177,, 78, 499,,,,, 221,, 33, 126,, 64,,,,,,,,,,,,,
 U8429, 88, 75, 92, 640, 740, 409,,,,,, 212,, 92, 464,, 79,,, 662,,,,,,,,,,
 U8430, 64, 172, 143, 96, 2576, 984, 474,,,,, 208,, 167, 218, 656, 178,,, 901,,,, 526,,,,,,
 U8431, 41, 28, 30, 52,,,,,,,, 74, 278, 44, 324, 50, 62,,, 157,,,,,,, 102,,,
 U8432, 23, 36, 22, 49, 37, 163, 86, 584, 551, 150,, 72, 263, 63, 155, 29, 50,, 297, 92,, 1057,,, 636, 271, 486,,, 99
 U8433, 150, 87, 606, 392,,,,,,,, 762,, 1462, 460, 609,, 3072,,,,,,,,,,, 1919,
 U8434, 29, 83, 85, 56, 363,, 64,,,,, 70,, 154,, 972, 138,,, 520,,,,,,,,,,
 U8435, 139, 329, 57, 488, 181, 2376, 293, 554, 1006, 2570,, 283, 2226, 232, 2748, 258, 210,,, 186,, 1734,, 1084,,,,, 2424,
 U8436, 63, 63, 33, 55, 102,, 442,, 368,,, 65,, 75, 192, 86, 66,,, 647,,,, 139, 139,,,,,
 U8438, 88, 96, 151, 92, 113, 310, 158,, 907,,, 148,, 91, 168, 1830, 153,,, 1183,,,,, 1798,,,,,
 U8439, 76, 72, 388, 480, 864, 561,,, 99,,, 253,, 684,,, 100,,, 165,,,,,,,,,,
 U8440, 45, 39, 40, 35, 183, 941, 167,, 936,,, 121,, 51, 234, 103, 56,,, 166,,,,, 3489,,,,, 75
 U8441, 90, 62, 141, 69, 235, 557, 122, 2381, 752,,, 31,, 65, 179, 234,,,,,,,,,,,,,,
 U8442, 98, 47, 79, 473, 268, 3876, 836,, 5522,,, 1044,, 72, 2945, 1871, 241,,, 689,,,,,,,,,,
 U8443, 57, 113, 235, 152, 2528, 2126, 351,, 396,,, 109, 3318, 148, 754, 358, 463,, 1203, 4236,,,,, 256,,,,, 8737
 U8444, 198, 2162, 251, 298, 950, 655, 1143,,,,, 247,, 326, 249, 414, 196,,, 861,,,,,,,,,,
 U8445, 120, 89, 173, 224, 584,, 261,,,,, 837,, 1213, 1064, 2711, 556,,,,,,,,,,,,,
 U8446, 35, 96, 98, 389,,, 360,, 1528,,, 231,, 486, 282, 859, 135,,,,,,,,,,,,,
 U8447, 184, 261, 124, 154, 314, 862, 702,, 1503,,, 252,, 577, 683, 397, 337, 2502,, 4313,,,,,,,,,,
 U8448, 108, 200, 148, 188, 261,, 952,,,,, 1058,, 48, 180, 198, 219,,,,,,,,,,,,,
 U8453, 55, 93, 129, 132, 353, 256, 308,, 285,, 462, 273, 624, 87, 244, 336, 158, 2067, 193, 239, 3096, 514,,, 145,, 426,, 223, 393
 U8473, 76, 111, 443, 215, 935, 1638, 190,,,,, 209,, 34, 1803, 355, 134, 2640,,,,,,,,,,,,
 U8475, 715, 217, 524, 91, 246, 170, 1397,,,,, 1379,, 169, 951, 2467, 156, 331,, 766,,,, 748,,,,,,
 U8479, 372, 80, 727, 434, 281, 1825, 137,,,,, 2324,, 1776, 238,, 210,,,,,,,,,,,,,
 U8508, 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8511, 25, 34, 60, 88, 89, 256, 86,, 176,, 64, 123,, 30, 134, 88, 105,,, 372,,,, 224,,, 105,,, 206
 U8513, 198, 71, 1040, 57, 1084,, 1661,,,,, 104,, 140, 1458, 802, 125,,,,,,,,,,,,,
 U8514, 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8515, 239, 176, 65, 65, 2325, 734,,, 1388,,, 110,, 1036, 2379,, 1215,,,,,,,,,,,,,
 U8516, 40, 283, 90, 132,,, 452,,,,, 428,, 92, 1360, 1076, 347,,,,,,,,,,,,,
 U8518, 696, 75, 140, 82, 359, 269, 113,, 1444,, 1981, 242,, 305, 786, 361, 100,, 2538, 810,,,, 1924, 423,, 1557,,, 5373
 U8519, 392, 159, 124, 144,,, 114,,,,, 212,, 363,, 215, 60,,,,,,,,,,,,,
 U8520, 333, 59, 32, 50, 57,, 198,,,,, 131,, 180, 624, 168, 393,,,,,,,,,,,,, 1410
 U8521, 191, 1533, 494, 292,, 200, 580,, 5552,,, 537,, 195, 429, 1074, 436,,,,,,,,,,,,,
 U8522, 103, 99, 142, 85, 3410, 1777, 263,, 3524, 2427,, 114, 1160, 175, 289, 123, 147,, 851, 1104,,,,, 1569,, 1825,, 275,
 U8523, 608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U8524, 50, 93, 396, 216, 200,, 232, 402,,,, 545,, 103, 468, 263, 236,,, 41,,,,,,,,,,
 U8525, 71, 93, 139, 665,,, 328,, 151,, 295, 407,, 163,, 244, 159,,,,,,,,,,,,,
 U8526, 713, 38, 158, 104,,, 143,,,,, 487,, 1064,, 193, 106,,,,,,,,,,,,,
 U8527, 60, 95, 276, 294, 711,, 117,,,, 586, 103,, 132, 836,, 130,,,,,,,,,,,,,
 U8528, 67, 81, 107, 485, 159,,,,,,, 106,, 86,, 142, 81,,, 171,,,,,,,,, 499,
 U8529, 55,, 96,,,,,,,,,,, 76,,,,,,,,,,,,,,,,
 U8531, 66, 87, 135, 327, 1368,, 120,, 273,, 237, 431,, 474,,, 150,,,,,,,,,,,,,
 U8532, 80, 108, 79, 98,,, 348,, 284,,, 88,, 130,, 243, 201,,, 251,,,,,,,,,,
 U8533, 89, 444, 72, 451,,, 177,, 243,,, 1863,, 165,, 201, 162,,, 260,,,,,,,,,,
 U8534, 102, 315, 104, 55,,,,, 801,,, 323,, 97,, 776, 169,,,,,,,, 602,,,, 417,
 U8535, 193, 155, 821, 118, 1372, 1023, 1793,, 106,,, 315,, 449, 2320, 761, 965,,, 1349,,,,, 707,,,,,
 U8537, 106, 183, 125, 71, 537, 536, 236,,,,, 421,, 78, 384, 121, 195,,, 201,,,,,,,,,, 3002
 U8538, 71, 810,, 327,,,,,,, 549,,, 128, 279,,,,,,,,,,,,,,,
 U8540, 170, 108, 169, 131,, 62,,,,,, 94,, 118, 173, 269, 107,,, 248,,,,,,,,,,
